us_state,county,poverty_estimate,poverty_percentage
IL,Livingston,"4,319",13.0
IL,Logan,"3,124",12.8
IL,McDonough,"6,134",23.3
IL,McHenry,"16,380",5.4
IL,McLean,"23,034",14.3
IL,Macon,"16,762",16.7
IL,Macoupin,"5,934",13.5
IL,Madison,"28,284",10.9
IL,Marion,"5,456",15.0
IL,Marshall,"1,007",9.0
IL,Mason,"1,592",12.1
IL,Massac,"2,143",15.9
IL,Menard,986,8.2
IL,Mercer,"1,233",8.1
IL,Monroe,"1,423",4.2
IL,Montgomery,"4,140",16.0
IL,Morgan,"4,209",13.8
IL,Moultrie,"1,218",8.6
IL,Ogle,"4,684",9.4
IL,Peoria,"25,825",14.8
IL,Perry,"2,650",14.4
IL,Piatt,"1,054",6.5
IL,Pike,"2,164",14.4
IL,Pope,688,16.9
IL,Pulaski,"1,171",22.0
IL,Putnam,435,7.6
IL,Randolph,"3,499",12.7
IL,Richland,"1,980",13.1
IL,Rock Island,"18,669",13.6
IL,St. Clair,"33,979",13.3
IL,Saline,"3,556",15.7
IL,Sangamon,"23,367",12.2
IL,Schuyler,753,11.3
IL,Scott,545,11.2
IL,Shelby,"2,000",9.4
IL,Stark,587,11.2
IL,Stephenson,"4,997",11.5
IL,Tazewell,"10,576",8.2
IL,Union,"2,835",17.2
IL,Vermilion,"12,253",16.8
IL,Wabash,"1,533",13.5
IL,Warren,"1,805",11.4
IL,Washington,"1,099",8.1
IL,Wayne,"2,116",13.1
IL,White,"1,906",14.5
IL,Whiteside,"6,176",11.4
IL,Will,"44,518",6.5
IL,Williamson,"8,627",13.4
IL,Winnebago,"44,613",16.1
IL,Woodford,"2,269",6.1
IN,Indiana,"773,367",11.9
IN,Adams,"4,444",12.6
IN,Allen,"39,176",10.5
IN,Bartholomew,"9,205",11.2
IN,Benton,752,8.7
IN,Blackford,"1,474",12.8
IN,Boone,"4,619",6.9
IN,Brown,"1,565",10.5
IN,Carroll,"1,739",8.7
IN,Cass,"4,630",12.6
IN,Clark,"11,267",9.7
IN,Clay,"2,920",11.3
IN,Clinton,"3,545",11.3
IN,Crawford,"1,723",16.5
IN,Daviess,"3,686",11.3
IN,Dearborn,"4,546",9.3
IN,Decatur,"2,502",9.6
IN,De Kalb,"4,040",9.5
IN,Delaware,"22,680",21.5
IN,Dubois,"2,465",5.9
IN,Elkhart,"19,316",9.6
IN,Fayette,"3,059",13.5
IN,Floyd,"8,161",10.6
IN,Fountain,"2,000",12.5
IN,Franklin,"2,073",9.2
IN,Fulton,"1,876",9.6
IN,Gibson,"3,050",9.3
IN,Grant,"9,713",16.0
IN,Greene,"4,242",13.5
IN,Hamilton,"14,199",4.2
IN,Hancock,"3,978",5.2
IN,Harrison,"3,276",8.2
IN,Hendricks,"8,123",4.9
IN,Henry,"5,709",12.9
IN,Howard,"9,880",12.2
IN,Huntington,"3,407",9.7
IN,Jackson,"4,391",10.1
IN,Jasper,"2,854",8.8
IN,Jay,"2,510",12.5
IN,Jefferson,"3,476",11.6
IN,Jennings,"3,169",11.6
IN,Johnson,"9,294",6.0
IN,Knox,"4,381",12.7
IN,Kosciusko,"6,996",9.0
IN,Lagrange,"2,943",7.5
IN,Lake,"69,073",14.5
IN,La Porte,"13,771",13.4
IN,Lawrence,"4,670",10.5
