us_state,county,year_end,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,ninetieth_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_so2,days_pm2,days_pm10
FL,Seminole,12/31/2018,365,324,39,2,0,0,0,150,54,36,0,0,303,0,62,0
FL,St. Lucie,12/31/2018,360,342,18,0,0,0,0,100,47,33,0,0,360,0,0,0
FL,Volusia,12/31/2018,365,329,36,0,0,0,0,80,50,36,0,0,274,0,91,0
FL,Wakulla,12/31/2018,353,304,49,0,0,0,0,98,54,34,3,0,224,0,126,0
GA,Bibb,12/31/2018,365,311,53,1,0,0,0,106,56,35,0,0,168,3,194,0
GA,Charlton,12/31/2018,114,113,1,0,0,0,0,60,34,20,0,0,0,0,114,0
GA,Chatham,12/31/2018,365,305,60,0,0,0,0,82,54,37,0,0,105,37,223,0
GA,Chattooga,12/31/2018,245,224,21,0,0,0,0,87,50,35,0,0,245,0,0,0
GA,Clarke,12/31/2018,332,262,68,2,0,0,0,105,58,39,0,0,151,0,181,0
GA,Clayton,12/31/2018,120,101,19,0,0,0,0,67,54,33,0,0,0,0,120,0
GA,Cobb,12/31/2018,286,234,52,0,0,0,0,100,58,39,0,0,225,0,61,0
GA,Coffee,12/31/2018,116,112,4,0,0,0,0,65,37,22,0,0,0,0,116,0
GA,Columbia,12/31/2018,245,223,22,0,0,0,0,90,50,36,0,0,245,0,0,0
GA,Dawson,12/31/2018,245,222,21,2,0,0,0,108,50,35,0,0,245,0,0,0
GA,DeKalb,12/31/2018,365,277,88,0,0,0,0,100,58,40,0,36,147,0,182,0
GA,Dougherty,12/31/2018,357,293,63,1,0,0,0,137,57,30,0,0,0,0,357,0
GA,Douglas,12/31/2018,242,214,28,0,0,0,0,93,51,37,0,0,242,0,0,0
GA,Floyd,12/31/2018,364,257,107,0,0,0,0,80,59,38,0,0,0,32,332,0
GA,Fulton,12/31/2018,365,232,129,4,0,0,0,133,66,44,1,35,114,0,215,0
GA,Glynn,12/31/2018,272,255,17,0,0,0,0,74,46,34,0,0,225,0,47,0
GA,Gwinnett,12/31/2018,361,245,116,0,0,0,0,87,62,43,0,0,122,0,239,0
GA,Hall,12/31/2018,322,282,40,0,0,0,0,68,52,30,0,0,0,0,322,0
GA,Henry,12/31/2018,354,293,58,3,0,0,0,115,58,34,0,0,187,0,167,0
GA,Houston,12/31/2018,322,259,61,2,0,0,0,108,58,34,0,0,0,0,322,0
GA,Lowndes,12/31/2018,315,264,51,0,0,0,0,93,54,37,0,0,0,0,315,0
