data_state,county,data_year,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,days_co,days_no2,days_ozone,days_so2
FL,Lee,12/31/2016,366,324,41,1,0,0,0,0,0,260,0
FL,Leon,12/31/2016,361,297,64,0,0,0,0,0,0,172,0
FL,Liberty,12/31/2016,342,333,9,0,0,0,0,0,0,342,0
FL,Manatee,12/31/2016,366,343,23,0,0,0,0,0,0,366,0
FL,Marion,12/31/2016,366,324,41,1,0,0,0,0,0,239,0
FL,Martin,12/31/2016,363,327,36,0,0,0,0,0,0,244,0
FL,Miami-Dade,12/31/2016,360,260,97,3,0,0,0,0,3,128,0
FL,Nassau,12/31/2016,336,310,26,0,0,0,0,0,0,0,111
FL,Okaloosa,12/31/2016,366,346,20,0,0,0,0,0,0,358,0
FL,Orange,12/31/2016,366,293,73,0,0,0,0,0,12,220,0
FL,Osceola,12/31/2016,366,342,24,0,0,0,0,0,0,366,0
FL,Palm Beach,12/31/2016,359,268,88,2,1,0,0,0,0,143,0
FL,Pasco,12/31/2016,366,328,37,1,0,0,0,0,0,366,0
FL,Pinellas,12/31/2016,366,315,51,0,0,0,0,0,0,242,0
FL,Polk,12/31/2016,366,320,46,0,0,0,0,0,0,244,2
FL,Putnam,12/31/2016,366,366,0,0,0,0,0,0,0,0,14
FL,Santa Rosa,12/31/2016,366,324,42,0,0,0,0,0,0,259,0
FL,Sarasota,12/31/2016,366,300,66,0,0,0,0,0,0,219,0
FL,Seminole,12/31/2016,365,330,35,0,0,0,0,0,0,341,0
FL,St. Lucie,12/31/2016,329,309,20,0,0,0,0,0,0,329,0
FL,Volusia,12/31/2016,359,317,42,0,0,0,0,0,0,253,0
FL,Wakulla,12/31/2016,342,298,42,1,1,0,0,2,0,236,0
GA,Bibb,12/31/2016,366,267,94,5,0,0,0,0,0,146,1
GA,Charlton,12/31/2016,117,112,5,0,0,0,0,0,0,0,0
GA,Chatham,12/31/2016,366,304,59,3,0,0,0,0,0,135,40
GA,Chattooga,12/31/2016,242,217,25,0,0,0,0,0,0,242,0
GA,Clarke,12/31/2016,362,295,61,4,2,0,0,0,0,191,0
GA,Clayton,12/31/2016,121,98,22,1,0,0,0,0,0,0,0
GA,Cobb,12/31/2016,351,244,103,3,1,0,0,0,0,177,0
GA,Coffee,12/31/2016,43,40,3,0,0,0,0,0,0,0,0
GA,Columbia,12/31/2016,243,217,26,0,0,0,0,0,0,243,0
GA,Coweta,12/31/2016,366,303,62,0,1,0,0,0,0,178,0
GA,Dawson,12/31/2016,244,216,26,2,0,0,0,0,0,244,0
GA,DeKalb,12/31/2016,366,174,183,8,1,0,0,0,23,123,0
GA,Dougherty,12/31/2016,363,263,100,0,0,0,0,0,0,0,0
GA,Douglas,12/31/2016,245,196,42,6,1,0,0,0,0,245,0
GA,Floyd,12/31/2016,366,287,78,1,0,0,0,0,0,0,57
GA,Fulton,12/31/2016,366,201,152,12,1,0,0,0,24,103,1
GA,Glynn,12/31/2016,343,314,27,2,0,0,0,0,0,182,0
GA,Gwinnett,12/31/2016,365,284,72,9,0,0,0,0,0,202,0
GA,Hall,12/31/2016,119,103,14,1,1,0,0,0,0,0,0
GA,Henry,12/31/2016,365,290,66,8,1,0,0,0,0,200,0
GA,Houston,12/31/2016,352,306,44,2,0,0,0,0,0,0,0
GA,Lowndes,12/31/2016,327,276,51,0,0,0,0,0,0,0,0
GA,Murray,12/31/2016,275,233,41,1,0,0,0,0,0,242,0
GA,Muscogee,12/31/2016,360,281,74,5,0,0,0,0,0,175,0
GA,Paulding,12/31/2016,364,240,122,2,0,0,0,0,0,124,0
GA,Pike,12/31/2016,339,290,45,4,0,0,0,0,0,339,0
GA,Richmond,12/31/2016,365,272,87,4,2,0,0,0,0,146,32
GA,Rockdale,12/31/2016,240,179,52,9,0,0,0,0,0,240,0
GA,Sumter,12/31/2016,245,218,26,1,0,0,0,0,0,245,0
GA,Walker,12/31/2016,348,267,78,0,3,0,0,0,0,0,0
GA,Washington,12/31/2016,119,108,10,1,0,0,0,0,0,0,0
GA,Wilkinson,12/31/2016,117,98,17,1,1,0,0,0,0,0,0
HI,Hawaii,12/31/2016,366,1,54,128,181,1,1,0,0,0,353
HI,Honolulu,12/31/2016,366,353,13,0,0,0,0,0,1,282,0
HI,Kauai,12/31/2016,358,356,2,0,0,0,0,0,58,0,4
HI,Maui,12/31/2016,366,348,17,1,0,0,0,0,0,0,0
ID,Ada,12/31/2016,366,283,76,7,0,0,0,0,24,270,0
ID,Bannock,12/31/2016,366,317,49,0,0,0,0,0,0,0,80
ID,Benewah,12/31/2016,366,257,101,7,1,0,0,0,0,0,0
ID,Blaine,12/31/2016,113,98,15,0,0,0,0,0,0,0,0
ID,Boise,12/31/2016,363,309,48,5,1,0,0,0,0,0,0
ID,Bonner,12/31/2016,366,337,29,0,0,0,0,0,0,0,0
ID,Bonneville,12/31/2016,324,301,23,0,0,0,0,0,0,0,0
ID,Butte,12/31/2016,362,347,14,1,0,0,0,0,0,359,0
ID,Canyon,12/31/2016,366,256,106,4,0,0,0,0,0,0,0
ID,Caribou,12/31/2016,357,355,2,0,0,0,0,0,0,0,357
ID,Custer,12/31/2016,116,104,8,3,1,0,0,0,0,0,0
ID,Franklin,12/31/2016,357,306,44,7,0,0,0,0,0,0,0
ID,Idaho,12/31/2016,366,319,47,0,0,0,0,0,0,30,0
ID,Jerome,12/31/2016,199,199,0,0,0,0,0,0,0,0,0
ID,Kootenai,12/31/2016,351,325,26,0,0,0,0,0,0,0,0
ID,Latah,12/31/2016,270,268,2,0,0,0,0,0,0,0,0
ID,Lemhi,12/31/2016,364,230,105,26,3,0,0,0,0,0,0
ID,Nez Perce,12/31/2016,366,328,36,2,0,0,0,0,0,0,0
ID,Shoshone,12/31/2016,366,245,116,5,0,0,0,0,0,0,0
ID,Twin Falls,12/31/2016,352,348,4,0,0,0,0,0,0,0,0
ID,Valley,12/31/2016,348,327,21,0,0,0,0,0,0,0,0
IL,Adams,12/31/2016,214,199,15,0,0,0,0,0,0,214,0
IL,Champaign,12/31/2016,366,302,64,0,0,0,0,0,0,265,0
IL,Clark,12/31/2016,203,175,27,1,0,0,0,0,0,203,0
IL,Cook,12/31/2016,366,179,169,16,2,0,0,0,59,132,0
IL,DuPage,12/31/2016,241,194,38,9,0,0,0,0,0,178,0
IL,Effingham,12/31/2016,214,181,33,0,0,0,0,0,0,214,0
IL,Hamilton,12/31/2016,285,227,58,0,0,0,0,0,0,170,0
IL,Jersey,12/31/2016,295,234,56,5,0,0,0,0,0,183,0
IL,Jo Daviess,12/31/2016,350,331,18,1,0,0,0,0,0,350,0
IL,Kane,12/31/2016,358,305,45,8,0,0,0,0,0,310,0
IL,La Salle,12/31/2016,350,350,0,0,0,0,0,0,0,0,350
IL,Lake,12/31/2016,346,306,32,8,0,0,0,0,0,346,0
IL,Macon,12/31/2016,366,293,72,1,0,0,0,0,0,181,29
IL,Macoupin,12/31/2016,362,341,21,0,0,0,0,0,0,203,159
IL,Madison,12/31/2016,366,241,116,9,0,0,0,0,0,203,1
IL,McHenry,12/31/2016,362,307,49,6,0,0,0,0,0,217,0
IL,McLean,12/31/2016,366,309,56,1,0,0,0,0,0,294,0
IL,Monroe,12/31/2016,245,245,0,0,0,0,0,0,0,0,245
IL,Peoria,12/31/2016,366,275,89,2,0,0,0,0,0,192,4
IL,Randolph,12/31/2016,295,240,54,1,0,0,0,0,0,170,0
IL,Rock Island,12/31/2016,343,307,35,1,0,0,0,0,0,306,0
IL,Saint Clair,12/31/2016,366,280,82,4,0,0,0,0,27,214,0
IL,Sangamon,12/31/2016,364,319,44,1,0,0,0,0,0,323,0
IL,Tazewell,12/31/2016,236,210,22,4,0,0,0,0,0,0,236
IL,Wabash,12/31/2016,364,359,5,0,0,0,0,0,0,0,364
IL,Will,12/31/2016,365,283,81,1,0,0,0,0,0,195,0
IL,Winnebago,12/31/2016,354,316,35,3,0,0,0,0,0,314,0
IN,Allen,12/31/2016,358,264,91,3,0,0,0,0,0,149,0
IN,Bartholomew,12/31/2016,366,286,75,5,0,0,0,0,6,139,0
IN,Boone,12/31/2016,181,143,35,3,0,0,0,0,0,181,0
IN,Brown,12/31/2016,138,123,14,1,0,0,0,0,0,138,0
IN,Carroll,12/31/2016,182,147,33,2,0,0,0,0,0,182,0
IN,Clark,12/31/2016,365,266,92,7,0,0,0,0,0,157,0
IN,Daviess,12/31/2016,354,351,3,0,0,0,0,0,0,0,354
IN,Delaware,12/31/2016,230,192,37,1,0,0,0,0,0,156,0
IN,Dubois,12/31/2016,127,104,23,0,0,0,0,0,0,0,0
IN,Elkhart,12/31/2016,358,265,85,8,0,0,0,0,0,140,0
IN,Floyd,12/31/2016,366,280,80,6,0,0,0,0,0,193,3
IN,Fountain,12/31/2016,175,175,0,0,0,0,0,0,0,0,175
IN,Gibson,12/31/2016,366,353,10,3,0,0,0,0,0,0,366
IN,Greene,12/31/2016,244,187,54,3,0,0,0,0,0,172,0
IN,Hamilton,12/31/2016,359,271,85,3,0,0,0,0,0,120,0
IN,Hendricks,12/31/2016,183,146,37,0,0,0,0,0,0,183,0
IN,Henry,12/31/2016,119,106,13,0,0,0,0,0,0,0,0
IN,Howard,12/31/2016,325,243,82,0,0,0,0,0,0,0,0
IN,Huntington,12/31/2016,180,156,23,1,0,0,0,0,0,180,0
IN,Jackson,12/31/2016,183,146,35,2,0,0,0,0,0,183,0
IN,Johnson,12/31/2016,183,158,25,0,0,0,0,0,0,183,0
IN,Knox,12/31/2016,359,313,42,4,0,0,0,0,0,359,0
IN,LaPorte,12/31/2016,244,205,37,2,0,0,0,0,0,169,0
IN,Lake,12/31/2016,366,258,102,5,0,1,0,1,16,113,7
IN,Madison,12/31/2016,358,273,85,0,0,0,0,0,0,136,0
IN,Marion,12/31/2016,366,206,149,11,0,0,0,0,4,138,1
IN,Monroe,12/31/2016,354,338,16,0,0,0,0,0,0,0,0
IN,Morgan,12/31/2016,366,337,28,1,0,0,0,0,0,183,183
IN,Perry,12/31/2016,183,140,40,3,0,0,0,0,0,183,0
IN,Pike,12/31/2016,363,360,3,0,0,0,0,0,0,0,363
IN,Porter,12/31/2016,366,276,83,7,0,0,0,0,0,156,14
IN,Posey,12/31/2016,181,148,32,1,0,0,0,0,0,181,0
IN,Shelby,12/31/2016,183,153,29,1,0,0,0,0,0,183,0
IN,Spencer,12/31/2016,118,98,20,0,0,0,0,0,0,0,0
