us_state,county,year_end,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,poverty_estimate,poverty_percentage
FL,Polk,12/31/2019,365,314,51,0,0,0,0,"99,590",14.0
FL,Putnam,12/31/2019,352,347,5,0,0,0,0,"16,318",22.4
FL,Santa Rosa,12/31/2019,364,307,57,0,0,0,0,"17,435",9.8
FL,Sarasota,12/31/2019,365,323,42,0,0,0,0,"33,144",7.8
FL,Seminole,12/31/2019,365,322,42,1,0,0,0,"43,741",9.3
FL,St. Lucie,12/31/2019,352,342,10,0,0,0,0,"34,008",10.5
FL,Volusia,12/31/2019,350,316,34,0,0,0,0,"70,554",13.1
FL,Wakulla,12/31/2019,363,316,47,0,0,0,0,"3,651",12.0
GA,Bibb,12/31/2019,365,278,84,3,0,0,0,"33,912",23.2
GA,Charlton,12/31/2019,103,100,3,0,0,0,0,"2,804",25.9
GA,Chatham,12/31/2019,365,295,70,0,0,0,0,"40,565",14.8
GA,Chattooga,12/31/2019,244,231,13,0,0,0,0,"4,085",17.4
GA,Clarke,12/31/2019,365,245,120,0,0,0,0,"30,277",25.7
GA,Clayton,12/31/2019,119,98,21,0,0,0,0,"45,655",16.0
GA,Cobb,12/31/2019,282,224,57,1,0,0,0,"62,275",8.3
GA,Coffee,12/31/2019,121,107,14,0,0,0,0,"8,048",20.2
GA,Columbia,12/31/2019,245,229,16,0,0,0,0,"8,747",5.6
GA,Dawson,12/31/2019,244,225,18,1,0,0,0,"2,267",8.8
GA,DeKalb,12/31/2019,365,251,110,3,1,0,0,"95,805",12.9
GA,Dougherty,12/31/2019,356,236,118,2,0,0,0,"23,192",27.6
GA,Douglas,12/31/2019,245,212,28,5,0,0,0,"15,842",10.9
GA,Floyd,12/31/2019,365,217,148,0,0,0,0,"15,537",16.4
GA,Fulton,12/31/2019,365,192,166,6,1,0,0,"141,979",13.8
GA,Glynn,12/31/2019,279,254,25,0,0,0,0,"12,943",15.4
GA,Gwinnett,12/31/2019,355,221,132,2,0,0,0,"85,810",9.2
GA,Hall,12/31/2019,340,259,81,0,0,0,0,"27,137",13.5
GA,Henry,12/31/2019,363,283,73,7,0,0,0,"18,819",8.1
GA,Houston,12/31/2019,354,246,106,1,1,0,0,"17,079",11.0
GA,Lowndes,12/31/2019,309,255,54,0,0,0,0,"22,685",20.4
GA,Murray,12/31/2019,269,230,39,0,0,0,0,"5,755",14.5
GA,Muscogee,12/31/2019,364,274,90,0,0,0,0,"34,694",18.4
GA,Pike,12/31/2019,353,307,43,3,0,0,0,"1,615",8.7
GA,Richmond,12/31/2019,364,231,131,2,0,0,0,"41,081",21.7
GA,Rockdale,12/31/2019,241,186,50,5,0,0,0,"10,873",12.1
GA,Sumter,12/31/2019,238,211,27,0,0,0,0,"7,420",26.7
GA,Walker,12/31/2019,356,269,87,0,0,0,0,"10,034",14.7
GA,Washington,12/31/2019,211,176,34,1,0,0,0,"3,940",21.4
HI,Hawaii,12/31/2019,365,357,8,0,0,0,0,"124,650",9.0
HI,Hawaii,12/31/2019,365,357,8,0,0,0,0,"26,071",13.1
HI,Honolulu,12/31/2019,365,339,26,0,0,0,0,"74,282",7.9
HI,Kauai,12/31/2019,365,363,2,0,0,0,0,"6,659",9.3
HI,Maui,12/31/2019,362,347,11,3,1,0,0,"17,638",10.7
ID,Ada,12/31/2019,365,317,48,0,0,0,0,"44,023",9.4
ID,Bannock,12/31/2019,365,344,21,0,0,0,0,"11,554",13.5
ID,Benewah,12/31/2019,364,242,111,9,2,0,0,"1,415",15.4
ID,Blaine,12/31/2019,314,313,1,0,0,0,0,"1,657",7.2
ID,Boise,12/31/2019,365,290,72,2,1,0,0,899,11.6
ID,Bonner,12/31/2019,365,316,48,1,0,0,0,"5,689",12.6
ID,Bonneville,12/31/2019,357,342,15,0,0,0,0,"10,953",9.3
ID,Butte,12/31/2019,361,348,13,0,0,0,0,376,14.6
ID,Canyon,12/31/2019,365,311,54,0,0,0,0,"22,828",10.1
ID,Caribou,12/31/2019,330,326,2,2,0,0,0,718,10.1
ID,Custer,12/31/2019,96,96,0,0,0,0,0,556,13.0
ID,Franklin,12/31/2019,364,333,28,3,0,0,0,"1,122",8.2
ID,Idaho,12/31/2019,365,297,68,0,0,0,0,"193,741",11.0
ID,Idaho,12/31/2019,365,297,68,0,0,0,0,"2,227",13.8
ID,Jerome,12/31/2019,353,353,0,0,0,0,0,"3,429",14.2
ID,Kootenai,12/31/2019,355,318,37,0,0,0,0,"16,374",10.0
ID,Latah,12/31/2019,350,350,0,0,0,0,0,"4,353",11.7
ID,Lemhi,12/31/2019,360,269,87,4,0,0,0,"1,070",13.5
ID,Nez Perce,12/31/2019,360,309,51,0,0,0,0,"4,372",11.1
ID,Shoshone,12/31/2019,365,260,102,3,0,0,0,"2,426",19.1
ID,Twin Falls,12/31/2019,365,361,4,0,0,0,0,"9,420",11.0
ID,Valley,12/31/2019,357,290,67,0,0,0,0,995,8.8
IL,Adams,12/31/2019,241,208,33,0,0,0,0,"7,786",12.3
IL,Champaign,12/31/2019,365,281,84,0,0,0,0,"38,566",19.9
IL,Clark,12/31/2019,327,314,13,0,0,0,0,"1,636",10.8
IL,Cook,12/31/2019,365,150,206,9,0,0,0,"659,687",13.0
IL,DuPage,12/31/2019,352,257,92,2,1,0,0,"54,833",6.0
IL,Effingham,12/31/2019,245,224,21,0,0,0,0,"3,087",9.2
IL,Hamilton,12/31/2019,344,269,74,1,0,0,0,"1,017",12.7
IL,Jersey,12/31/2019,347,284,61,2,0,0,0,"2,171",10.4
