data_state,county,poverty_estimate,poverty_percentage
GA,Bryan,"3,264",8.6
GA,Bulloch,"16,439",22.9
GA,Burke,"4,853",22.0
GA,Butts,"4,228",19.7
GA,Calhoun,"1,723",37.2
GA,Camden,"8,134",15.8
GA,Candler,"2,587",24.6
GA,Carroll,"19,187",16.8
GA,Catoosa,"7,911",11.9
GA,Charlton,"2,753",25.6
GA,Chatham,"39,488",14.4
GA,Chattahoochee,"1,408",17.3
GA,Chattooga,"4,575",19.5
GA,Cherokee,"18,576",7.4
GA,Clarke,"31,645",27.0
GA,Clay,841,29.8
GA,Clayton,"50,072",17.6
GA,Clinch,"1,695",25.8
GA,Cobb,"67,585",9.1
GA,Coffee,"9,505",23.9
GA,Colquitt,"10,700",23.9
GA,Columbia,"10,858",7.1
GA,Cook,"4,156",24.5
GA,Coweta,"14,844",10.2
GA,Crawford,"2,251",18.5
GA,Crisp,"6,063",27.4
GA,Dade,"2,067",13.6
GA,Dawson,"2,168",8.7
GA,Decatur,"5,923",23.2
GA,DeKalb,"106,598",14.3
GA,Dodge,"4,988",26.5
GA,Dooly,"3,420",29.1
GA,Dougherty,"25,104",29.5
GA,Douglas,"18,113",12.6
GA,Early,"2,669",26.5
GA,Echols,970,24.4
GA,Effingham,"5,080",8.3
GA,Elbert,"3,476",18.5
GA,Emanuel,"5,346",25.1
GA,Evans,"2,742",26.6
GA,Fannin,"4,318",16.8
GA,Fayette,"5,689",5.0
GA,Floyd,"19,427",20.7
GA,Forsyth,"11,808",5.0
GA,Franklin,"3,634",16.4
GA,Fulton,"137,929",13.5
GA,Gilmer,"5,309",17.4
GA,Glascock,509,17.5
GA,Glynn,"13,913",16.6
GA,Gordon,"9,526",16.8
GA,Grady,"4,889",20.0
GA,Greene,"3,365",19.3
GA,Gwinnett,"84,763",9.2
GA,Habersham,"6,363",14.9
GA,Hall,"26,249",13.2
GA,Hancock,"2,187",30.7
GA,Haralson,"4,626",15.9
GA,Harris,"2,958",8.7
GA,Hart,"3,796",15.0
GA,Heard,"2,004",17.1
GA,Henry,"17,086",7.5
GA,Houston,"18,519",12.1
GA,Irwin,"2,040",24.3
GA,Jackson,"6,059",8.7
GA,Jasper,"2,138",15.4
